sports,countries,leagues,pronos,date,time,team_1,team_2,outcome,bookmaker,odds,value,probability
Boxing,World,Super Flyweight - WBC/WBO Titles Men,1X2,2025-07-20,01:00,Rodriguez J.,Cafu P.,X,1xBet,44.0,1.72,3.94
Football,Italy,Serie A,"O/U 4.5, 1st Half",2025-05-18,16:00,Inter,Lazio,Over,1xBet,65.0,1.94,3.93
Basketball,Greece,Basket League,"1X2, 1st Half",2025-05-12,20:15,Panathinaikos,Promitheas,X,Cloudbet,37.9,1.5,3.87
Football,Italy,Serie A,"O/U 4.5, 1st Half",2025-05-12,21:45,Atalanta,AS Roma,Over,1xBet,65.0,1.89,3.85
Football,Morocco,Botola Pro,"O/U 4.5, 1st Half",2025-05-12,22:00,Chabab Mohammedia,Raja Casablanca,Over,1xBet,65.0,1.96,3.84
Football,Portugal,Liga Portugal 2,"O/U 4.5, 1st Half",2025-05-17,16:00,Felgueiras,Oliveirense,Over,1xBet,65.0,2.03,3.77
Hockey,World,World Championship,1X2,2025-05-15,21:20,Czech Republic,Hungary,2,Betsson,45.0,1.65,3.73
Football,World,FIFA Club World Cup,1X2,2025-06-15,19:00,Bayern Munich,Auckland City,2,Betfair,61.0,1.88,3.24
Hockey,World,World Championship,1X2,2025-05-18,17:20,Kazakhstan,USA,1,Betsafe,75.0,1.88,2.8
Hockey,World,World Championship,1X2,2025-05-16,21:20,Sweden,Slovenia,2,Betsson,75.0,1.95,2.67
